No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Jumlah,Ruang,Keterangan
73,Ambu Bag,Greatcare,,,,6,IGD,TIDAK DI KALIBRASI
74,Bed dengan Bedrails,Paramount,-,-,-,4,IGD,TIDAK DI KALIBRASI
75,Bed Ginekologi Electric,Nutritex,NT 037-B,,2023,1,IGD,TIDAK DI KALIBRASI
76,Bed Jiwa/ Bedah,-,-,-,-,,IGD,TIDAK DI KALIBRASI
77,Bed Jiwa/ Bedah,-,-,-,-,,IGD,TIDAK DI KALIBRASI
78,Bed Side Monitor,Innomed,- Inno Care T11,-,-,5,IGD,4 Rusak
79,Bed Side Monitor,Innomed,- Inno Care T12,-,-,5,IGD,1  Baik
80,Bed Side Monitor,Dixion,-,,2023,2,IGD,SUDAH DIKALIBRASI 
81,Bedside Cabinet,Paramount/ Tanpa merk,-,-,-,2,IGD,TIDAK DI KALIBRASI
82,Brankar Ranjang Darurat,-,-,-,-,2,IGD,TIDAK DI KALIBRASI
83,Defibrilator,Innomed,Cardiac Aid 200 B,-,2022,1,IGD,Rusak
84,Defibrilator,,Cardiac Aid 360 B,,2021,2,IGD,Rusak
85,Doppler,IMN Terravizion,Fetak Doppler,-,2023,1,IGD,Terpakai
86,Doppler,,,,2025,1,IGD,Baik
87,Electric suction,SANI,SN 703A-D /,-,2023,2,IGD,2 Baik
88,Electric suction,Tidak ada merk, AC-500,,,1,IGD,RUSAK
89,EPA Filter Isolasi IGD,-,-,,-,1,IGD,terpakai
90,High Flow Nasal Canula,Poly Medical,Aircov-19,21-0701,2024,1,IGD,
91,Infant Radiant Warmer,SANI,COMP.T10-AS,810040007,2023,1,IGD,SUDAH DIKALIBRASI 
92,Infus Pump,B-Braun,Perfusor Space,-,2013,1,IGD,Rusak
93,Intubasi Set,,,,,,IGD,TIDAK DI KALIBRASI
94,Intybasi Set Dewasa,,,,,,IGD,TIDAK DI KALIBRASI
95,Lampu Tindakan,Famed,-,-,2023,-,IGD,TIDAK DI KALIBRASI
96,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,2,IGD,1 Rusak
97,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,2,IGD,DI Poli
98,Mesin EKG 12 Lead,- Innomed,- HeartScreen,-,2023,1,IGD,Baik
99,Nebulizer,Omron,-,-,-,1,IGD,BAIK
100,Oksigen konsentrat,Krober,-,-,2021,3,IGD,3 Tidak Terpakai
101,Pispot stainles/ plastik,-,-,-,-,1,IGD,TIDAK DI KALIBRASI
102,Pulse oximeter,- Bionet,Oxy 9 Wave,-,2023,3,IGD,SUDAH DIKALIBRASI 
103,Pulse oximeter,- Mindray,PM-60,CR 19250581,2021,2,IGD,2Rusak
104,Regulator Oksigen,,-,-,2018/2021,2,IGD,2 Terpakai 
105,Regulator Oksigen,,-,-,2018/2022,3,IGD,3 Rusak
106,Regulator Oksigen Central,RMS,-,-,-,3,IGD, 3 Rusak
107,Regulator Oksigen Central,RMS,-,-,-,6,IGD,6 Baik
108,Set ETT Anak,-,-,-,-,1,IGD,Rusak
109,Set ETT Dewasa,-,-,-,-,1,IGD,Rusak
110,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,2,IGD,2 Baik
111,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,4,IGD,4 Rusak
112,Stetoskop dewasa,Cronea Care,,,2025,1,IGD,Baik
113,Syringe Pump,B-Braun,Infusomat Space P,227124,2013,1,IGD,Rusak
114,Tensi Meter Dewasa,ABN,Regal,-,2019,4,IGD,Baik
115,Tensi Meter Dewasa,ABN,Regal,-,2019,4,IGD,3 Rusak
116,Tensimeter automatic dewasa,Yuwel,YE680E,-,2023,2,IGD,2 Rusak
117,Termometer Digital,Tidak ada merk,-,-,-,-,IGD,Beli sendiri
118,Tiang infus,-,-,-,-,4,IGD,TIDAK DI KALIBRASI
119,Tiang infus,-,-,-,-,1,IGD,TIDAK DI KALIBRASI
120,Timbangan Bayi Digital,GEA,ER 7220,202101069,-,1,IGD,Baik
121,Timbangan Dewasa Digital,SECA,-,-,-,1,IGD,Rusak
122,Timbangan Dewasa Manual,SANI,-,,2023,1,IGD,Baik
123,Trolly emergency,- Mak,-,-,-,1,IGD,TIDAK DI KALIBRASI
