Unnamed: 0,No.,Nama Barang,Merk,Tipe,Serial Number,Tahun,Jumlah,Cara Perolehan,Nilai Perolehan,Ruangan,Lokasi Saat Ini,Kondisi Alat,ASPAK,KIB,NON KIB dan ASPAK,KETERANGAN
,58.0,Syringe pump,Rchestra,,082594/21452196,,1,,,ICU,,BAIK,,,False,
,59.0,Tensimeter Dewasa,Regal,ABN,,2020,1,,,ICU,,BAIK,,,False,
,60.0,Termometer Digital,HuBDIC,FS-300,-,,1,,,ICU,,BAIK,,,False,
,61.0,Termometer Digital,Omron,MC-246,-,,1,,,ICU,,BAIK,,,False,
,62.0,THT set,,,,,1,,,ICU,,BAIK,,,False,
,63.0,Timbangan pempers,,,,,1,,,ICU,,BAIK,,,False,
,64.0,USG,Mindray,-,MR-2B004895,,1,,,ICU,,BAIK,,,False,
,65.0,UV Room sterilizer,Medivent,-,-,,1,,,ICU,,BAIK,,,False,
,66.0,Ventilator,Bellavista,-,MB230883,2020,1,,,ICU,,BAIK,,,False,
,67.0,Ventilator,Bellavista,,MB231220,2020,1,,,ICU,,BAIK,,,False,
,68.0,Ventilator,MonalT75,-,MT75-07648,2018,1,,,ICU,,BAIK,,,False,
,69.0,Ventilator,Hamilton C2,,160150,,1,,,ICU,,BAIK,,,False,
,70.0,Ventilator,Siaretron 4000,,,2024,,HIBAH,,ICU,,BAIK,,TIDAK TERDATA,True,MUTASI DINKES BELUM ADA BERITA ACARA SERAH TERIMA
,71.0,Ventilator mobile,RESMED,-,-,2020,2,,,ICU,,BAIK,,,False,
,72.0,Ambu Bag,Ambu,-,-,-,3,,,IGD,,BAIK,,,False,
,73.0,Ambu Bag,Greatcare,,,,6,,,IGD,,BAIK,,,False,
,74.0,Bed dengan Bedrails,Paramount,-,-,-,4,,,IGD,,BAIK,,,False,
,75.0,Bed Ginekologi Electric,Nutritex,NT 037-B,,2023,1,DAK 2023,96100000.0,IGD,,BAIK,,TERDATA,False,
,76.0,Bed Jiwa/ Bedah,-,-,-,-,,,,IGD,,BAIK,,,False,
,77.0,Bed Jiwa/ Bedah,-,-,-,-,,,,IGD,,BAIK,,,False,
,78.0,Bed Side Monitor,Innomed,- Inno Care T11,-,-,5,,,IGD,,BAIK,,,False,
,79.0,Bed Side Monitor,Innomed,- Inno Care T12,-,-,5,,,IGD,,BAIK,,,False,Hibah
,80.0,Bed Side Monitor,Dixion,STORM 5900-05,,2023,2,DAK 2023,105896000.0,IGD,,BAIK,,TERDATA,False,
,,Bedside Cabinet,Paramount/ Tanpa merk,-,-,-,2,,,IGD,,BAIK,,,False,
,,Brankar Ranjang Darurat,-,-,-,-,2,,,IGD,,BAIK,,,False,
,,Defibrilator,Innomed,Cardiac Aid 200 B,-,2022,1,,,IGD,,RUSAK BERAT,,,False,
,,Defibrilator,,Cardiac Aid 360 B,,2021,2,,,IGD,,RUSAK BERAT,,,False,
,,Doppler,IMN Terravizion,Fetal Doppler,-,2023,1,BLUD 2023,10675675.0,IGD,,BAIK,,TERDATA,False,
,,Doppler,,,,2025,1,,,IGD,,BAIK,,,False,
,,Electric suction,SANI,SN 703A-D /,-,2023,2,DAK 2023,34894500.0,IGD,,BAIK,,TERDATA,False,
,,Electric suction,Tidak ada merk,AC-500,,,1,,,IGD,,,,,False,
,,HEPA Filter Isolasi IGD,-,-,,-,1,,,IGD,,BAIK,,,False,
,,High Flow Nasal Canula,Poly Medical,Aircov-19,21-0701,2024,1,HIBAH,,IGD,,BAIK,,TIDAK TERDATA,True,MUTASI DINKES BELUM ADA BERITA ACARA SERAH TERIMA
,,Infant Radiant Warmer,SANI,COMP.T10-AS,810040007,2023,1,,,IGD,,BAIK,,,False,
,,Infus Pump,B-Braun,Perfusor Space,-,2013,1,,,IGD,,RUSAK BERAT,,,False,
,,Intubasi Set,,,,,,,,IGD,,BAIK,,,False,
,,Intybasi Set Dewasa,,,,,,,,IGD,,BAIK,,,False,
,,Lampu Tindakan,Famed,-,-,2023,-,DAK 2023,58500000.0,IGD,,BAIK,,TERDATA,False,
,,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,2,,,IGD,,BAIK,,,False,
,,Mesin EKG 12 Lead,- Mindray,- Beneheart R 12A,-,2021,2,,,IGD,1 Berada di Poli,BAIK,,,False,
,,Mesin EKG 12 Lead,- Innomed,- HeartScreen,-,2023,1,DAK 2023,56000000.0,IGD,,BAIK,,TERDATA,False,
,,Nebulizer,Omron,-,-,-,1,,,IGD,,RUSAK BERAT,,,False,
,,Oksigen konsentrat,Krober,-,-,2021,3,,,IGD,,BAIK,,,False,
,,Pispot stainles/ plastik,-,-,-,-,1,,,IGD,,RUSAK RINGAN,,,False,
,,Pulse oximeter,- Bionet,Oxy 9 Wave,-,2023,3,,,IGD,1 di Perinatology,BAIK,,,False,
,,Pulse oximeter,- Mindray,PM-60,CR 19250581,2021,2,,,IGD,,RUSAK BERAT,,,False,
,,Regulator Oksigen,,-,-,2018/2021,2,,,IGD,,BAIK,,,False,
,,Regulator Oksigen,,-,-,2018/2022,3,,,IGD,,RUSAK BERAT,,,False,
,,Regulator Oksigen Central,RMS,-,-,-,3,,,IGD,,RUSAK BERAT,,,False,
,,Regulator Oksigen Central,RMS,-,-,-,6,,,IGD,,BAIK,,,False,
,,Set ETT Anak,-,-,-,-,1,,,IGD,,RUSAK BERAT,,,False,
,,Set ETT Dewasa,-,-,-,-,1,,,IGD,,RUSAK BERAT,,,False,
,,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,2,,,IGD,,BAIK,,,False,
,,Stetoskop dewasa,GEA/ Erka/ Fazinni / tidak ada merk,-,-,-,4,,,IGD,,RUSAK BERAT,,,False,
,,Stetoskop dewasa,Cronea Care,,,2024,1,BLUD 2024,832000.0,IGD,,BAIK,,TERDATA,False,
,,Syringe Pump,B-Braun,Infusomat Space P,227124,2013,1,,,IGD,,RUSAK BERAT,,,False,
,,Tensi Meter Dewasa,ABN,Regal,-,2019,4,,,IGD,,BAIK,,,False,
,,Tensi Meter Dewasa,ABN,Regal,-,2019,4,,,IGD,,BAIK,,,False,
,,Tensimeter automatic dEWASA,Yuwel,YE680E,-,2023,2,BLUD 2023,2150000.0,IGD,,RUSAK BERAT,,TERDATA,False,
,,Termometer Digital,Tidak ada merk,-,-,-,-,Beli Sendiri,,IGD,,BAIK,,,False,
,,Tiang infus,-,-,-,-,4,,,IGD,,BAIK,,,False,
,,Tiang infus,-,-,-,-,1,,,IGD,,RUSAK BERAT,,,False,
,,Timbangan Bayi Digital,GEA,ER 7220,202101069,-,1,,,IGD,,BAIK,,,False,
,,Timbangan Dewasa Digital,SECA,-,-,-,1,,,IGD,,RUSAK BERAT,,,False,
