No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Ruang Pemilik,Lokasi Fisik saat Ini,Kondisi,Status Kalibrasi,Tanggal Kalibrasi Terakhir,Keterangan
49,Infus Pump,Mindray,-,SK 10308913,2021,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
50,Infus Pump,B-Braun,,8713070,,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
51,Laringoskop  set adult,Karl storz,,,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
52,Laringoskop  set adult,Hofbauer,,,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
53,Monitor Lengkap,Philips,-,DE 67IR3743,2020,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
54,Monitor Lengkap,Philips,,DE 67IR3819,2020,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
55,Monitor Lengkap,Dixion,-,D5/09/2205/5193,2022,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
56,Monitor Lengkap,Dixion,,05/092211/5318,2022,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,HIBAH HD
57,O2 portable,Krober O2,,,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
58,Oxymetri Portable,Oxy9wave,,,,ICU,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
59,Oxymetri Portable,Oxy9wave,,,,ICU,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
60,Regulator O2,Mak,-,-,,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
61,Regulator O2,Mak,-,-,,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
62,Regulator O2,Mak,-,-,,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
63,Regulator oksigen central / Resmed,- RMS,-,-,,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
64,Regulator oksigen ventilator,- RMS,,,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
65,Stetoskop Anak,,,,2017,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
66,Stetoskop dewasa,GEA,-,-,2017,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
67,Stetoskop dewasa,-,-,-,2017,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
68,Stetoskop dewasa,-,-,-,2017,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
69,Suction pump,Industries Med LTD,AC 500,9056236,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
70,Suction pump,Electric Suction Apparatus,SN703A-D,SANMO94-23-010,2023,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
71,Suction pump,Electric Suction Apparatus,SN703A-D,SANMO94-23-017,2023,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
72,Syringe pump,Mindray,-,SK 10307825,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
73,Syringe pump,Mindray,-,SK10307823,,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
74,Syringe pump,Frenesius Kabi,,018094/23196959,,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
75,Syringe pump,Frenesius Kabi,,018094/23227676,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
76,Syringe pump,Frenesius Kabi,-,018094/23227675,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
77,Syringe pump,Rchestra,,082594/21452196,,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
78,Tensimeter Dewasa,Regal,ABN,,2020,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
79,Termometer Digital,HuBDIC,FS-300,-,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
80,Termometer Digital,Omron,MC-246,-,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
81,THT set,,,,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
82,Timbangan pempers,,,,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
83,USG,Mindray,-,MR-2B004895,,ICU,ICU,Baik,SUDAH DIKALIBRASI,Belum ada data,
84,UV Room sterilizer,Medivent,-,-,,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
85,Ventilator,Bellavista,-,MB230883,2020,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
86,Ventilator,Bellavista,,MB231220,2020,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
87,Ventilator,MonalT75,-,MT75-07648,2018,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
88,Ventilator,Hamilton C2,,160150,,ICU,ICU,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
89,Ventilator,Siaretron 4000,,,2024,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
90,Ventilator mobile,RESMED,-,-,2020,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
91,Ventilator mobile,RESMED,-,-,2020,ICU,ICU,Baik,BELUM DIKALIBRASI,Belum ada data,
92,Ambu Bag,Ambu,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
93,Ambu Bag,Ambu,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
94,Ambu Bag,Ambu,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
95,Ambu Bag,Greatcare,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
96,Ambu Bag,Greatcare,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
97,Ambu Bag,Greatcare,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
98,Ambu Bag,Greatcare,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
99,Ambu Bag,Greatcare,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
100,Ambu Bag,Greatcare,,,,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
101,Bed dengan Bedrails,Paramount,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
102,Bed dengan Bedrails,Paramount,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
103,Bed dengan Bedrails,Paramount,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
104,Bed dengan Bedrails,Paramount,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
105,Bed Ginekologi Electric,Nutritex,NT 037-B,,2023,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
106,Bed Jiwa/ Bedah,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
107,Bed Jiwa/ Bedah,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
108,Bed Side Monitor,Innomed,- Inno Care T11,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
109,Bed Side Monitor,Innomed,- Inno Care T11,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
110,Bed Side Monitor,Innomed,- Inno Care T11,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
111,Bed Side Monitor,Innomed,- Inno Care T11,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
112,Bed Side Monitor,Innomed,- Inno Care T11,-,-,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
113,Bed Side Monitor,Innomed,- Inno Care T12,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
114,Bed Side Monitor,Innomed,- Inno Care T12,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
115,Bed Side Monitor,Innomed,- Inno Care T12,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
116,Bed Side Monitor,Innomed,- Inno Care T12,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
117,Bed Side Monitor,Innomed,- Inno Care T12,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
118,Bed Side Monitor,Dixion,-,,2023,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
119,Bed Side Monitor,Dixion,-,,2023,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
120,Bedside Cabinet,Paramount/ Tanpa merk,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
121,Bedside Cabinet,Paramount/ Tanpa merk,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
122,Brankar Ranjang Darurat,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
123,Brankar Ranjang Darurat,-,-,-,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
124,Defibrilator,Innomed,Cardiac Aid 200 B,-,2022,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
125,Defibrilator,,Cardiac Aid 360 B,,2021,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
126,Defibrilator,,Cardiac Aid 360 B,,2021,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
127,Doppler,IMN Terravizion,Fetak Doppler,-,2023,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
128,Doppler,,,,2025,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
129,Electric suction,SANI,SN 703A-D /,-,2023,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
130,Electric suction,SANI,SN 703A-D /,-,2023,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
131,Electric suction,Tidak ada merk,AC-500,,,IGD,IGD,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
132,EPA Filter Isolasi IGD,-,-,,-,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
133,High Flow Nasal Canula,Poly Medical,Aircov-19,21-0701,2024,IGD,IGD,Baik,BELUM DIKALIBRASI,Belum ada data,
134,Infant Radiant Warmer,SANI,COMP.T10-AS,810040007,2023,IGD,IGD,Baik,SUDAH DIKALIBRASI,Belum ada data,
